imdbID,Title,WatchedDate,Rating10
tt0057869,Bande à part,2013-05-08,7
tt0057935,Charulata,2020-06-02,8
tt0057977,Crónica de un niño solo,2015-05-26,8
tt0057982,Culloden,2016-06-01,8
tt0057983,Cumbite,2015-06-15,5
tt0058001,Démanty noci,2013-07-21,7
tt0058003,Il deserto rosso,2020-06-09,8
tt0058006,Deus e o Diabo na Terra do Sol,2013-07-15,8
tt0058067,Nihon dasshutsu,2013-10-18,6
tt0058080,Fádní odpoledne,2013-09-17,5
tt0058138,Gertrud,2018-11-05,5
tt0058139,Der geteilte Himmel,2017-04-25,7
tt0058150,Goldfinger,2012-10-20,6
tt0058182,A Hard Day's Night,2014-05-10,7
tt0058249,Le journal d'une femme de chambre,2019-01-28,7
tt0058277,Kradetzat na praskovi,2015-09-30,7
tt0058279,Kaidan,2012-09-17,8
tt0058329,Marnie,2016-04-25,6
tt0058349,Midareru,2013-05-11,8
tt0058390,The Naked Kiss,2013-02-17,8
tt0058409,Nikutai no mon,2013-05-18,6
tt0058430,Onibaba,2013-05-12,9
tt0058450,Les parapluies de Cherbourg,2014-10-31,6
tt0058548,Santa Claus Conquers the Martians,2013-10-09,1
tt0058555,Scorpio Rising,2014-02-07,6
tt5859238,Lucky,2017-12-15,6
tt5860356,Yung,2019-12-11,6
tt0058625,Suna no onna,2013-04-27,9
tt0058642,Tini zabutykh predkiv,2020-06-07,8
tt0058701,Une femme mariée: Suite de fragments d'un film tourné en 1964,2013-05-03,6
tt0058715,Il vangelo secondo Matteo,2014-10-11,8
tt0058787,Így jöttem,2015-11-12,6
tt0058888,Akahige,2013-08-13,6
tt0058898,"Alphaville, une étrange aventure de Lemmy Caution",2013-11-24,7
tt0058946,La battaglia di Algeri,2013-06-11,7
tt0058985,Le bonheur,2014-01-15,6
tt0058997,Bunny Lake Is Missing,2015-10-26,7
tt0059012,Campanadas a medianoche,2020-06-11,6
tt0059112,Do Not Disturb,2017-04-23,4
tt0059116,La donna del lago,2015-03-01,7
tt0059159,Etsuraku,2013-08-27,8
tt0005916,Posle smerti,2016-02-10,7
tt0059163,A Falecida,2014-11-29,5
tt0059211,Gamperaliya,2016-05-13,6
tt0059229,Giulietta degli spiriti,2012-10-20,6
tt0059415,Lásky jedné plavovlásky,2013-09-18,8
tt0059503,"Nicht versöhnt oder Es hilft nur Gewalt, wo Gewalt herrscht",2013-09-10,6
tt0005951,Rapsodia satanica,2014-09-14,5
tt0059520,Now,2014-06-21,6
tt0059527,Obchod na korze,2013-07-18,8
tt0059575,The Pawnbroker,2019-09-20,7
tt0059578,Per qualche dollaro in più,2013-01-13,6
tt0059592,Pierrot le Fou,2012-12-16,9
tt0059619,I pugni in tasca,2014-01-12,6
tt0059633,Rapture,2015-08-27,8
tt0059646,Repulsion,2012-02-28,9
tt0059653,Ride in the Whirlwind,2015-10-27,6
tt0059715,Shunpu den,2013-08-13,6
tt0059719,Simón del desierto,2013-04-29,6
tt0059758,Mizu de kakareta monogatari,2014-05-20,8
tt0059776,Szegénylegények,2013-07-17,7
tt0059807,Time Piece,2014-06-14,4
tt0059829,Tri,2016-03-10,7
tt0059850,Un uomo a metà,2016-02-14,7
tt0060063,Abschied von gestern - (Anita G.),2014-05-06,8
tt0060107,Andrey Rublev,2012-10-28,8
tt0060116,Apa,2016-04-15,8
tt0060138,Au hasard Balthazar,2012-10-20,7
tt0060176,Blowup,2013-05-09,8
tt0060183,Borom sarret,2020-06-09,6
tt0060196,"Il buono, il brutto, il cattivo",2012-09-13,9
tt0060220,Castro Street,2016-05-04,6
tt0060223,La caza,2018-10-09,7
tt0060268,Cul-de-sac,2014-11-30,8
tt0060277,Dai-bosatsu tôge,2014-12-29,8
tt0060304,2 ou 3 choses que je sais d'elle,2014-10-14,5
tt0060410,Film,2014-06-15,8
tt0060432,Freiheit,2014-02-26,6
tt0060486,Hakuchû no tôrima,2013-05-23,8
tt0060543,Intimní osvetlení,2013-08-18,6
tt0060545,Io la conoscevo bene,2015-08-30,8
tt0060560,Erogotoshi-tachi yori: Jinruigaku nyûmon,2013-05-19,8
tt0060574,Der junge Törless,2015-11-05,7
tt0060586,Kenka erejî,2013-05-18,8
tt0060594,Das kleine Chaos,2018-10-16,5
tt0060597,Kocár do Vídne,2013-11-10,8
tt0060613,Käpy selän alla,2018-11-14,8
tt0060675,Masculin féminin,2020-06-02,6
tt0060720,Mudar de Vida,2017-03-23,8
tt0060722,La muerte de un burócrata,2014-06-23,6
tt0060758,La noire de...,2014-06-19,7
tt0060786,Onna no naka ni iru tanin,2013-05-01,9
tt0060787,Onna no mizûmi,2013-05-21,9
tt0060802,Ostre sledované vlaky,2013-08-16,8
tt0060827,Persona,2012-07-30,10
tt0060860,La prise de pouvoir par Louis XIV,2020-06-10,6
tt0060867,Shokei no shima,2013-10-25,8
tt0060955,Seconds,2014-10-22,9
tt0060959,Sedmikrásky,2013-09-13,6
tt0060984,Six Men Getting Sick,2014-11-16,6
tt0061029,Happy End,2013-09-16,6
tt0061042,Sult,2015-02-17,8
tt0061065,Tanin no kao,2013-05-19,9
tt0061084,Oi voskoi,2015-03-08,6
tt0061101,Tôkyô nagaremono,2013-10-24,6
tt0061113,Trans-Europ-Express,2017-04-27,8
tt0061132,Uccellacci e uccellini,2017-03-02,9
tt0061136,Ukamau,2015-06-09,5
tt0061184,Who's Afraid of Virginia Woolf?,2012-10-20,8
tt0061196,Krylya,2015-12-02,7
tt0061320,A ciascuno il suo,2015-03-09,6
tt0061395,Belle de jour,2012-06-12,8
tt0061402,The Big Shave,2013-03-04,6
tt0061418,Bonnie and Clyde,2012-10-20,6
tt0061495,La collectionneuse,2017-02-13,8
tt0061512,Cool Hand Luke,2013-01-13,8
tt0061537,"Csillagosok, katonák",2016-04-07,8
tt6155172,Roma,2019-08-25,8
tt0061589,Dont Look Back,2015-04-02,7
tt0061613,Edipo Re,2014-11-04,8
tt0061633,El extraño viaje,2014-08-07,6
tt0061675,Honô to onna,2015-04-01,7
tt0061722,The Graduate,2013-01-14,7
tt0061754,Hatsukoi: Jigoku-hen,2013-05-13,8
tt0061781,"Horí, má panenko",2013-07-21,8
tt0061802,Ich war neunzehn,2017-04-26,8
tt0061809,In Cold Blood,2013-05-06,9
tt0061811,In the Heat of the Night,2020-03-08,8
tt0061852,The Jungle Book,2013-08-02,7
tt0061882,Koroshi no rakuin,2012-10-20,8
tt0061912,Ljubavni slucaj ili tragedija sluzbenice P.T.T.,2015-09-28,8
tt0061996,Mouchette,2014-04-18,8
tt0062009,Muri shinjû: Nihon no natsu,2013-10-29,7
tt0062042,Nihon shunka-kô,2015-01-10,7
tt0062043,Ningen jôhatsu,2013-10-28,7
tt0062069,Okasareta hakui,2013-10-16,5
tt0062113,Peppermint Frappé,2014-08-23,6
tt0062136,Playtime,2013-03-14,7
tt0062138,Point Blank,2015-03-21,8
tt0062212,El romance del Aniceto y la Francisca,2016-05-10,6
tt0062229,Le samouraï,2012-05-06,9
tt0062277,Skupljaci perja,2016-03-09,8
tt0062374,Titicut Follies,2014-10-15,7
tt0062480,Week End,2012-10-20,8
tt0062622,2001: A Space Odyssey,2011-02-10,10
tt0062653,The Alphabet,2014-11-16,5
tt6265828,A Ghost Story,2019-08-20,8
tt0062690,O Ritual dos Sádicos,2015-06-17,6
tt0062770,Byt,2016-04-17,8
tt0062804,Chronik der Anna Magdalena Bach,2016-05-04,4
tt0062864,David Holzman's Diary,2020-06-08,8
tt0062893,Dillinger è morto,2014-09-09,8
tt0062906,De Düva: The Dove,2014-06-30,6
tt0062952,Faces,2014-10-16,8
tt0063080,L'homme qui ment,2014-11-23,8
tt0063152,"Je t'aime, je t'aime",2014-10-06,7
tt0063173,Kamigami no fukaki yokubô,2013-05-24,9
tt0063198,Kôshikei,2013-05-20,9
tt0063218,Lebenszeichen,2014-10-09,8
tt0063291,Memorias del subdesarrollo,2014-01-06,9
tt0063342,Nevinost bez zastite,2016-03-18,5
tt0063345,Nicht löschbares Feuer,2018-10-20,5
tt0063350,Night of the Living Dead,2013-06-09,6
tt0063363,Nocturno 29,2014-09-11,5
tt0063371,O slavnosti a hostech,2013-08-14,8
tt0063426,Petulia,2014-11-07,6
tt0063442,Planet of the Apes,2020-05-29,8
tt0063462,The Producers,2019-02-23,6
tt0063493,Reconstituirea,2014-11-16,7
tt0063522,Rosemary's Baby,2012-11-01,9
tt0063527,Rozmarné léto,2013-08-15,5
tt0063529,Le révélateur,2015-05-18,6
tt0063544,Saraba natsu no hikari,2015-02-18,7
tt0063555,Sayat Nova,2014-08-07,6
tt0063598,Shinjuku dorobô nikki,2013-09-07,8
tt0063611,Skammen,2013-05-10,8
tt0063633,Spalovac mrtvol,2013-09-12,9
tt0063663,The Swimmer,2015-03-11,9
tt0063678,Teorema,2014-05-18,9
tt0063759,Vargtimmen,2012-05-15,8
tt0063850,If....,2014-11-06,8
tt0063876,Shônen,2013-02-09,8
tt0064029,O Anjo Nasceu,2015-06-14,5
tt0064040,L'armée des ombres,2017-02-05,8
tt0064064,Bambi Meets Godzilla,2016-05-19,6
tt0064068,Bara no sôretsu,2013-05-09,8
tt0064074,The Bed Sitting Room,2015-03-27,6
tt0064106,Le boucher,2017-03-13,7
tt0064115,Butch Cassidy and the Sundance Kid,2016-05-03,8
tt0064116,C'era una volta il West,2012-04-08,8
tt0064147,El Chacal de Nahueltoro,2014-11-11,6
tt0064165,Les choses de la vie,2017-02-16,6
tt0064256,O Dragão da Maldade contra o Santo Guerreiro,2014-06-18,8
tt0064276,Easy Rider,2012-12-03,9
tt0064323,La femme infidèle,2014-07-13,6
tt0064507,Jagdszenen aus Niederbayern,2015-11-23,7
tt0064536,Katzelmacher,2015-11-17,6
tt0064541,Kes,2015-04-11,6
tt0064588,Liebe ist kälter als der Tod,2013-05-12,6
tt0064609,Lucía,2014-11-15,9
tt0064616,Macunaíma,2014-11-21,5
tt0064665,Midnight Cowboy,2018-01-28,8
tt0064689,Monterey Pop,2015-11-24,7
tt0064841,La primera carga al machete,2014-11-11,6
tt0064843,Prípad pro zacínajícího kata,2013-08-14,8
tt0064861,Que la bête meure,2013-03-10,8
tt0064921,Salesman,2020-06-13,7
tt0064940,Fellini - Satyricon,2012-10-20,6
tt0064975,Shinjû: Ten no Amijima,2013-04-27,8
tt0065004,Smutecní slavnost,2013-09-14,6
tt0065043,Struktura krysztalu,2016-04-06,6
tt0065101,Tichý týden v dome,2014-06-27,5
tt0065152,Une femme douce,2016-04-21,7
tt0065193,"Vtáckovia, siroty a blázni",2013-09-16,7
tt0065214,The Wild Bunch,2012-10-20,7
tt0065228,Yawar Mallku,2014-01-07,5
tt0065234,Z,2017-03-01,7
tt0065241,Zert,2013-09-21,6
tt6531522,Hennessy X.O: Odyssey,2017-03-16,7
tt0065391,Der amerikanische Soldat,2013-08-05,6
tt6548464,Balle traversant une bulle de savon,2017-02-21,6
tt0065531,Le cercle rouge,2012-06-21,8
tt0065571,Il conformista,2012-10-20,10
tt0065695,L'enfance nue,2014-02-24,7
tt0065724,Five Easy Pieces,2013-12-17,7
tt0065772,Le genou de Claire,2017-03-03,7
tt0065780,Gimme Shelter,2015-04-03,7
tt0065788,Goin' Down the Road,2018-12-12,6
tt0065794,The Grandmother,2014-11-16,8
tt0065798,La muralla verde,2014-10-04,8
tt0065889,Indagine su un cittadino al di sopra di ogni sospetto,2018-05-10,8
tt0065955,En kärlekshistoria,2016-03-19,7
tt0066026,MASH,2016-02-16,7
tt0066122,Deep End,2019-02-08,7
tt0066214,Performance,2014-10-14,8
tt0066434,THX 1138,2012-10-20,6
tt0066466,Tôkyô sensô sengo hiwa,2013-09-07,8
tt0066491,Tristana,2018-10-25,6
tt0066498,Ucho,2013-08-14,8
tt0066514,Uski Roti,2014-04-24,5
tt0066516,Valerie a týden divu,2013-09-27,6
tt0066517,"Cuadecuc, vampir",2015-10-21,6
tt0066546,Warum läuft Herr R. Amok,2013-06-07,8
tt0066601,Zabriskie Point,2015-04-07,8
tt0066639,Gishiki,2013-09-07,8
tt0066730,10 Rillington Place,2015-02-12,7
tt0066765,And Now for Something Completely Different,2012-10-20,6
tt0066862,Breza,2016-03-20,8
tt0066921,A Clockwork Orange,2011-01-22,10
tt0066936,Como Era Gostoso o Meu Francês,2014-01-06,6
tt0066999,Dirty Harry,2020-02-12,7
tt0067085,Fata Morgana,2017-04-17,7
tt0067116,The French Connection,2015-02-15,8
tt0067128,Get Carter,2015-02-13,6
tt0067185,Harold and Maude,2015-03-23,8
tt0067227,Händler der vier Jahreszeiten,2012-10-16,7
tt0067324,Land des Schweigens und der Dunkelheit,2015-01-28,7
tt0067328,The Last Picture Show,2013-05-27,9
tt0067411,McCabe & Mrs. Miller,2013-02-16,8
tt0067445,Morte a Venezia,2018-02-04,8
tt0067467,Még kér a nép,2016-03-07,7
tt6751668,Gisaengchung,2019-10-25,8
tt0067541,Wake in Fright,2013-11-08,9
tt0067625,Proverka na dorogakh,2015-12-17,7
tt0067741,Shaft,2018-09-20,5
tt0067778,Le souffle au coeur,2017-02-06,8
tt0067800,Straw Dogs,2018-09-12,7
tt0067814,Szerelem,2016-04-13,7
tt0067815,Szindbád,2016-04-17,8
tt0067885,Trzecia czesc nocy,2015-03-03,6
tt0067893,Two-Lane Blacktop,2017-01-02,6
tt0067958,W.R. - Misterije organizma,2014-11-25,7
tt0067959,Walkabout,2016-01-01,8
tt0067961,Wanda,2020-03-03,7
tt0068182,"Aguirre, der Zorn Gottes",2012-10-20,9
tt6823368,Glass,2019-01-27,6
tt0068278,Die bitteren Tränen der Petra von Kant,2013-04-09,7
tt0068348,El castillo de la pureza,2015-06-02,7
tt0068361,Le charme discret de la bourgeoisie,2012-10-20,7
tt0068473,Deliverance,2012-10-20,8
tt0068528,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,2014-09-03,6
tt0068569,Family Life,2014-09-25,6
tt6857112,Us,2019-03-29,7
tt0006864,Intolerance: Love's Struggle Throughout the Ages,2013-12-01,8
tt0068646,The Godfather,2012-07-15,9
tt0068652,Gozenchû no jikanwari,2014-01-28,7
tt0068732,Images,2015-10-18,7
tt0068814,Kozijat rog,2016-03-09,8
tt0068899,Al-makhdu'un,2016-04-29,7
tt0068983,My Childhood,2014-06-13,6
tt0069033,Nunta de piatra,2015-11-18,6
tt0069089,Pink Flamingos,2018-09-06,6
tt0069191,Roma,2012-11-09,6
tt0069210,Salomè,2015-04-29,5
tt0069293,Solyaris,2012-10-20,8
tt0069467,Viskningar och rop,2012-09-26,9
tt0069687,Alice in den Städten,2014-05-02,8
tt0069704,American Graffiti,2019-02-07,7
tt0069762,Badlands,2012-06-22,9
tt0069920,I corpi presentano tracce di violenza carnale,2018-10-31,5
tt0069995,Don't Look Now,2013-10-01,6
tt0000070,Démolition d'un mur,2013-06-09,5
tt0070007,Du côté d'Orouët,2017-02-26,8
tt0070040,El espíritu de la colmena,2013-02-21,7
tt0070047,The Exorcist,2014-08-20,7
tt0070136,Die große Ekstase des Bildschnitzers Steiner,2018-10-14,7
tt0070217,Iluminacja,2014-11-27,8
tt0070260,Kaigenrei,2013-10-25,8
tt7028470,Herrliche Zeiten,2019-01-30,7
tt0070290,The Last Detail,2018-02-02,6
tt0070328,Live and Let Die,2012-10-20,6
tt0070334,The Long Goodbye,2013-05-27,8
tt0070374,Martha,2014-06-03,8
tt0070379,Mean Streets,2012-10-20,9
tt0070453,Les noces rouges,2013-06-13,6
tt0070460,La nuit américaine,2013-08-12,6
tt0070464,O Lucky Man!,2014-11-08,6
tt0070510,Paper Moon,2020-02-20,7
tt0070518,Pat Garrett & Billy the Kid,2020-05-10,7
tt0070531,Phase IV,2015-03-12,8
tt0070628,Sanatorium pod klepsydra,2015-03-29,6
tt0070723,Soylent Green,2012-11-17,5
tt0070735,The Sting,2012-10-20,6
tt0070820,Touki-Bouki,2014-06-24,8
tt0070849,Ultimo tango a Parigi,2014-11-26,8
tt0070917,The Wicker Man,2014-10-01,8
tt0071129,Amarcord,2012-11-09,6
tt0071141,Angst essen Seele auf,2012-10-20,8
tt0071230,Blazing Saddles,2020-05-26,5
tt0071249,Bring Me the Head of Alfredo Garcia,2020-05-20,8
tt0071315,Chinatown,2012-04-26,9
tt0071360,The Conversation,2011-10-13,9
tt0071381,Céline et Julie vont en bateau: Phantom Ladies Over Paris,2020-06-13,8
tt0071396,Messiah of Evil,2015-08-23,5
tt0071406,Den-en ni shisu,2014-01-30,8
tt0071458,Fontane Effi Briest,2014-05-11,7
tt0071483,Falsche Bewegung,2018-10-10,8
tt0071487,Le fantôme de la liberté,2013-01-20,6
tt0071562,The Godfather: Part II,2012-10-20,8
tt0071587,La gueule ouverte,2020-06-13,6
tt0071609,Himiko,2014-03-07,8
tt0071691,Jeder für sich und Gott gegen alle,2015-11-10,8
tt0071733,Lacombe Lucien,2017-02-06,8
tt0071737,Lancelot du Lac,2017-02-08,6
tt0071853,Monty Python and the Holy Grail,2012-04-26,8
tt0071859,Mossafer,2020-06-14,7
tt0071889,Na wylot,2015-08-18,7
tt0071994,Phantom of the Paradise,2020-05-26,9
tt0072208,Sto dney posle detstva,2015-12-08,7
tt0072271,The Texas Chain Saw Massacre,2016-05-21,8
tt0072295,Tinimbang ka ngunit kulang,2015-08-08,8
tt0072417,A Woman Under the Influence,2013-02-11,6
tt0072431,Young Frankenstein,2019-02-03,8
tt0072443,Zerkalo,2012-08-12,9
tt0072648,Angst vor der Angst,2013-09-09,8
tt0072684,Barry Lyndon,2012-08-04,9
tt7282468,Beoning,2019-06-13,7
tt0072890,Dog Day Afternoon,2012-04-07,9
tt0072958,Evridiki BA 2037,2014-11-26,8
tt0072962,F for Fake,2014-05-15,7
tt0072976,Faustrecht der Freiheit,2013-05-30,7
tt0072979,Female Trouble,2018-02-25,6
tt7298400,Jiang hu er nü,2019-03-18,6
tt0073028,Furtivos,2018-10-23,5
tt0073076,Grey Gardens,2014-11-02,6
tt0073152,Im Lauf der Zeit,2017-04-26,8
tt0073166,India Song,2014-11-02,5
tt0073195,Jaws,2014-08-30,8
tt0073198,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",2014-07-16,9
tt0073424,Mutter Küsters' Fahrt zum Himmel,2018-10-16,8
tt0073440,Nashville,2014-11-30,8
tt0073453,Night Moves,2013-12-17,6
tt0073486,One Flew Over the Cuckoo's Nest,2012-10-20,9
tt0073502,Overlord,2015-08-01,7
tt0073540,Picnic at Hanging Rock,2013-11-27,8
tt0073580,Professione: reporter,2013-08-09,9
tt0073650,Salò o le 120 giornate di Sodoma,2018-05-13,6
tt0073715,Sisyphus,2014-07-14,5
tt0074102,Ai no korîda,2014-03-01,5
tt0074119,All the President's Men,2018-02-04,7
